Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,lat,lng
Senegal,Diourbel,154,Unhealthy,2,Good,13,Good,4,Good,154,Unhealthy,14.655,-16.2314
Japan,Sasaguri,49,Good,1,Good,49,Good,3,Good,43,Good,33.6239,130.5262
Germany,Schenefeld,43,Good,1,Good,43,Good,0,Good,25,Good,53.6028,9.8233
United States of America,Sebastian,43,Good,1,Good,43,Good,2,Good,23,Good,27.7822,-80.4819
Peru,Sechura,49,Good,0,Good,24,Good,0,Good,49,Good,-5.5576,-80.8223
South Africa,Secunda,154,Unhealthy,2,Good,0,Good,23,Good,154,Unhealthy,-26.5161,29.2028
Germany,Sehnde,44,Good,1,Good,44,Good,0,Good,32,Good,52.3161,9.9642
Republic of Korea,Seoul,421,Hazardous,27,Good,0,Good,91,Moderate,415,Hazardous,37.56,126.99
Italy,Sesto Calende,96,Moderate,1,Good,59,Moderate,0,Good,96,Moderate,45.7333,8.6333
Japan,Seto,112,Unhealthy for Sensitive Groups,3,Good,6,Good,19,Good,112,Unhealthy for Sensitive Groups,35.2236,137.0842
France,Woippy,69,Moderate,1,Good,56,Moderate,0,Good,69,Moderate,49.1511,6.1514
United States of America,Wood River,82,Moderate,2,Good,41,Good,6,Good,82,Moderate,38.8631,-90.0774
Cameroon,Wum,54,Moderate,1,Good,15,Good,0,Good,54,Moderate,6.3833,10.0667
Azerbaijan,Xudat,39,Good,1,Good,31,Good,0,Good,39,Good,41.6281,48.6828
Ukraine,Yahotyn,43,Good,1,Good,43,Good,0,Good,24,Good,50.2569,31.7817
Burkina Faso,Yako,74,Moderate,1,Good,34,Good,0,Good,74,Moderate,12.9667,-2.2667
United States of America,West Haverstraw,51,Moderate,1,Good,44,Good,1,Good,51,Moderate,41.2063,-73.9884
United States of America,West Point,60,Moderate,1,Good,49,Good,1,Good,60,Moderate,41.122,-112.0995
United States of America,West Point,60,Moderate,1,Good,49,Good,1,Good,60,Moderate,33.6064,-88.6572
United States of America,Western Springs,57,Moderate,1,Good,32,Good,5,Good,57,Moderate,41.8023,-87.9006
United States of America,Westford,41,Good,1,Good,35,Good,1,Good,41,Good,42.5864,-71.4401
United States of America,Williamsburg,50,Good,1,Good,42,Good,2,Good,50,Good,37.2693,-76.7076
United States of America,Winter Haven,86,Moderate,1,Good,86,Moderate,1,Good,19,Good,28.0118,-81.7014
United States of America,Wisconsin Rapids,53,Moderate,1,Good,29,Good,0,Good,53,Moderate,44.3927,-89.8265
United States of America,Michigan City,41,Good,1,Good,41,Good,3,Good,24,Good,41.7092,-86.869
United States of America,Middletown,48,Good,1,Good,29,Good,8,Good,48,Good,41.4459,-74.4236
United States of America,Middletown,48,Good,1,Good,29,Good,8,Good,48,Good,39.5033,-84.3659
United States of America,Middletown,48,Good,1,Good,29,Good,8,Good,48,Good,40.3892,-74.082
United States of America,Middletown,48,Good,1,Good,29,Good,8,Good,48,Good,41.5476,-72.6549
United States of America,Middletown,48,Good,1,Good,29,Good,8,Good,48,Good,40.179,-74.9059
United States of America,Middletown,48,Good,1,Good,29,Good,8,Good,48,Good,39.445,-75.7183
United States of America,Middletown,48,Good,1,Good,29,Good,8,Good,48,Good,41.5175,-71.2769
United States of America,Middletown,48,Good,1,Good,29,Good,8,Good,48,Good,39.9094,-75.4311
United States of America,Middletown,48,Good,1,Good,29,Good,8,Good,48,Good,38.241,-85.5214
United States of America,Middletown,48,Good,1,Good,29,Good,8,Good,48,Good,40.201,-76.7289
Japan,Mihara,36,Good,1,Good,34,Good,5,Good,36,Good,34.4,133.0833
United States of America,Milford Mill,58,Moderate,1,Good,45,Good,4,Good,58,Moderate,39.3444,-76.7668
Cabo Verde,Mindelo,36,Good,0,Good,36,Good,0,Good,27,Good,16.886,-24.988
Japan,Minokamo,42,Good,1,Good,42,Good,1,Good,31,Good,35.4402,137.0157
